14,18,34,54,69
2,6,18,33,65
14,18,34,54,69
18,29,36,62,75
1,6,35,52,65
5,8,12,18,53
18,62,64,69,75
10,18,29,56,75
6,8,12,18,19
8,12,18,19,49
10,18,36,62,75
6,8,12,18,65
15,18,62,71,73
18,22,27,42,51
6,18,29,35,65
10,18,22,42,51
14,18,34,54,69
14,18,31,34,68
14,15,18,34,69
18,22,29,51,52
18,54,64,68,69
3,7,18,42,75
7,11,54,64,69
18,29,54,64,69
18,22,51,54,69
10,18,36,62,75
18,22,29,42,51
6,8,12,33,65
6,11,52,64,72
6,18,22,51,64
18,29,34,54,69
11,18,54,64,69
1,11,18,19,64
10,42,54,69,75
8,11,12,64,69
8,12,18,54,64
15,18,29,62,73
18,22,42,51,64
5,15,62,73,75
11,54,63,64,69
8,34,54,64,69
15,18,62,73,75
18,19,34,62,75
18,33,37,40,67
6,18,22,51,72
10,18,29,36,75
14,15,18,34,62
6,18,33,56,65
10,18,51,69,75
8,11,12,37,64
10,18,36,66,75
18,22,29,51,56
18,22,42,51,75
14,15,18,62,75
6,42,54,64,75
14,18,34,54,69
8,12,18,19,46
34,54,56,64,69
6,19,35,64,65
15,18,34,62,68
10,18,42,49,75
1,18,51,56,72
11,37,54,64,67
15,18,29,36,62
7,18,19,49,64
18,29,54,64,69
36,54,63,64,69
18,29,37,40,67
10,18,22,42,75
8,12,18,49,56
8,12,18,64,69
8,12,18,64,69
18,49,54,69,75
14,18,34,54,69
18,34,62,69,72
11,54,63,64,69
10,18,36,66,75
10,18,29,42,75
14,15,18,34,69
18,36,62,69,75
8,12,18,19,27
18,64,69,72,75
10,18,22,42,75
8,12,18,29,48
10,18,29,66,75
18,34,51,64,69
15,18,34,62,75
14,18,34,54,69
1,18,34,51,69
14,18,34,62,69
1,18,19,56,64
34,54,63,64,69
15,18,29,36,62
6,8,12,33,65
18,22,42,51,62
5,14,18,34,62
18,42,56,69,75
11,18,54,64,69
14,34,54,64,69
34,54,64,69,75
