70,146,170,228,244
34,118,196,205,246
94,103,208,244,280
25,139,171,248,250
19,26,164,165,271
1,82,116,128,237
37,38,58,149,239
73,119,171,182,189
24,118,131,177,214
24,37,40,179,290
54,100,140,201,262
15,92,106,119,164
29,82,115,257,258
52,147,150,159,170
7,112,155,204,283
2,79,98,187,217
16,33,210,217,252
46,60,74,100,102
36,63,206,213,235
17,39,107,119,197
3,28,127,139,185
19,49,93,119,265
3,12,215,226,276
13,200,209,245,275
9,12,120,176,293
134,141,176,275,288
5,166,182,223,239
77,150,164,168,279
31,195,203,261,287
19,29,95,261,275
55,84,142,245,280
14,37,108,126,158
71,89,203,283,284
5,21,38,48,158
3,5,76,172,230
59,132,151,238,291
122,217,249,253,269
126,223,246,259,278
87,90,98,128,254
112,158,206,209,210
140,187,206,211,250
55,57,149,287,294
27,75,93,166,258
3,50,55,130,160
29,72,186,256,271
45,201,257,280,292
110,128,213,248,277
67,96,126,180,188
4,12,74,141,245
124,167,214,230,263
62,73,93,131,175
10,15,50,161,205
40,138,162,203,281
10,17,34,128,194
111,113,166,225,298
18,162,171,208,294
1,114,172,200,262
70,75,118,258,269
42,70,179,226,256
101,159,175,193,199
42,80,145,232,287
28,92,107,196,227
37,113,119,164,219
59,104,110,135,256
99,177,222,235,292
20,96,141,261,273
10,200,202,216,278
16,186,216,222,255
90,94,133,148,243
2,57,137,155,290
204,258,267,279,291
2,10,77,89,108
13,63,115,127,205
68,82,112,194,196
37,138,158,263,265
38,124,147,206,209
13,30,138,191,268
87,194,220,253,285
30,83,128,144,230
33,98,111,119,184
27,42,159,177,293
108,124,197,236,249
23,35,138,139,173
3,117,253,295,297
16,111,141,146,149
18,30,41,123,242
122,130,208,226,266
13,36,94,101,283
96,129,168,203,232
8,49,64,81,218
16,143,166,177,255
153,188,210,218,261
35,63,103,220,221
44,70,77,196,239
17,131,144,266,271
5,64,71,113,176
45,226,237,241,275
40,129,142,152,238
21,68,79,131,279
129,134,158,238,268
