11,15,18,19,20,21,54,62,64,69
6,17,18,29,33,34,35,54,65,69
14,17,18,23,29,34,54,64,69,70
15,18,22,29,36,51,55,62,73,75
1,3,7,9,18,20,21,52,58,61
5,8,12,15,18,19,29,53,62,73
10,15,18,29,34,54,55,62,69,75
10,18,27,29,36,55,56,62,66,75
8,12,13,18,19,20,21,29,33,56
6,8,12,18,19,20,21,29,43,56
10,15,18,30,36,42,62,66,73,75
6,8,12,18,19,24,29,35,43,65
9,15,18,22,29,42,51,62,72,73
10,18,22,27,29,42,48,51,72,75
6,18,24,29,35,53,55,56,58,65
10,18,19,22,36,42,48,51,66,75
14,18,29,34,53,54,55,64,69,71
5,14,18,23,31,34,54,68,69,70
14,15,18,23,34,54,64,68,69,70
8,10,12,18,27,29,34,42,51,75
1,5,6,18,37,40,52,64,67,74
10,18,22,29,30,36,42,62,66,75
11,22,37,51,54,63,64,67,69,72
8,11,12,18,29,54,55,63,64,69
8,12,18,29,34,51,54,64,69,75
1,3,7,9,18,29,42,52,55,74
10,18,22,29,42,51,55,56,72,75
6,8,11,12,33,37,40,56,64,67
3,7,9,19,20,21,52,58,61,72
3,6,7,18,20,21,29,33,51,65
14,17,18,29,34,54,55,63,64,69
11,18,29,34,54,55,63,64,69,71
8,11,12,18,19,29,34,54,64,69
1,10,34,36,42,54,62,64,69,75
3,7,8,12,13,19,20,21,37,40
8,11,12,18,19,20,29,54,64,69
15,18,29,34,36,55,62,69,73,75
12,14,18,29,34,51,54,64,69,75
5,10,15,31,36,42,62,68,73,75
11,17,34,37,40,54,63,64,67,69
8,11,12,18,19,34,54,63,64,69
5,12,15,18,19,29,53,62,68,75
3,7,8,12,18,19,20,21,51,75
8,12,13,18,29,33,37,38,40,67
9,11,18,22,29,51,56,64,72,74
10,15,18,22,27,29,42,51,62,75
15,18,22,29,42,51,55,62,72,73
2,6,8,12,18,29,33,55,65,76
8,12,15,18,29,34,51,62,69,75
8,11,12,34,37,54,63,64,67,69
9,10,18,29,36,42,51,62,72,75
10,18,22,27,29,48,51,55,72,75
9,10,18,22,29,42,49,51,72,75
14,15,18,19,29,34,62,68,73,75
10,11,18,42,54,63,64,69,72,75
14,17,18,29,34,54,62,63,64,69
6,7,8,12,18,19,20,21,48,56
11,18,19,20,21,34,54,63,64,69
6,7,19,20,24,35,43,58,61,65
3,5,14,15,18,29,34,62,68,69
18,19,29,34,42,51,56,62,69,75
1,3,9,18,22,27,29,51,52,72
6,11,34,37,54,63,64,65,67,69
15,18,29,30,36,48,55,62,66,73
3,8,12,18,19,27,29,37,40,64
8,11,12,18,29,37,54,55,64,69
10,11,14,17,34,54,63,64,69,75
8,12,13,18,29,37,40,55,67,69
5,10,18,22,30,36,42,51,66,75
8,12,18,19,20,21,29,49,55,56
10,11,18,29,42,54,55,64,69,75
8,12,18,19,20,29,34,54,64,69
14,18,29,34,54,55,62,64,69,75
11,14,17,18,34,54,63,64,69,70
10,15,18,29,34,54,62,64,69,75
11,17,34,37,40,54,63,64,67,69
8,10,12,18,30,36,42,48,66,75
7,10,18,20,21,27,29,42,66,75
3,7,14,17,18,34,54,63,64,69
15,18,22,29,36,51,55,62,73,75
7,8,12,18,19,20,21,27,29,48
5,8,12,14,18,29,54,64,69,75
10,18,22,30,36,42,48,51,66,75
18,26,27,29,41,44,48,49,55,56
8,10,12,18,19,27,36,48,66,75
10,11,18,22,29,34,51,54,64,69
9,18,22,36,51,52,62,72,74,75
8,12,14,18,29,34,54,55,64,69
8,12,14,18,19,29,34,54,64,69
6,14,18,19,34,54,62,64,68,69
1,3,11,18,19,27,29,52,54,64
11,14,17,34,37,54,63,64,67,69
8,12,15,18,27,29,36,48,62,66
6,8,11,12,19,43,54,64,65,69
9,10,18,22,29,42,51,56,72,75
14,18,22,29,34,54,62,68,69,70
10,18,29,34,36,42,54,55,69,75
11,17,18,29,34,54,63,64,67,69
5,14,17,18,34,54,64,68,69,70
10,11,14,34,36,54,63,64,69,75
